                            name    tag dec  tag hex   imm     proc   memory
                 InARP.TargetMAC       3367      D27    -1   532640   A71BB0
                  InARP.TargetIP       3367      D27    -1   532640   A71BC0
                         pInIPv4       1808      710    -1   532BBC        0
                          InIPv4       3367      D27    -1   532640   A71BD0
                  sizeof(InIPv4)       3367      D27    -1   532640   A71BE0
         InIPv4.VersionAndLength       3367      D27    -1   532640   A71BF0
                 InIPv4.Services       3367      D27    -1   532640   A71C00
              InIPv4.TotalLength       3367      D27    -1   532640   A71C10
           InIPv4.Identification       3367      D27    -1   532640   A71C20
           InIPv4.FlagsAndOffset       3367      D27    -1   532640   A71C30
                      InIPv4.TTL       3367      D27    -1   532640   A71C40
                 InIPv4.Protocol       3367      D27    -1   532640   A71C50
           InIPv4.HeaderChecksum       3367      D27    -1   532640   A71C60
                 InIPv4.SourceIP       3367      D27    -1   532640   A71C70
                   InIPv4.DestIP       3367      D27    -1   532640   A71C80
                  InIPv4.Options       3367      D27    -1   532640   A71C90
                         pInICMP       1809      711    -1   532BBC        0
                          InICMP       3367      D27    -1   532640   A71CA0
                  sizeof(InICMP)       3367      D27    -1   532640   A71CB0
                     InICMP.Type       3367      D27    -1   532640   A71CC0
                     InICMP.Code       3367      D27    -1   532640   A71CD0
                 InICMP.Checksum       3367      D27    -1   532640   A71CE0
               InICMP.HeaderData       3367      D27    -1   532640   A71CF0
                          pInUDP       1810      712    -1   532BBC        0
                           InUDP       3367      D27    -1   532640   A71D00
                   sizeof(InUDP)       3367      D27    -1   532640   A71D10
                InUDP.SourcePort       3367      D27    -1   532640   A71D20
                  InUDP.DestPort       3367      D27    -1   532640   A71D30
                    InUDP.Length       3367      D27    -1   532640   A71D40
                  InUDP.Checksum       3367      D27    -1   532640   A71D50
                        pInBOOTP       1811      713    -1   532BBC        0
                         InBOOTP       3367      D27    -1   532640   A71D60
                 sizeof(InBOOTP)       3367      D27    -1   532640   A71D70
               InBOOTP.Operation       3367      D27    -1   532640   A71D80
            InBOOTP.HardwareType       3367      D27    -1   532640   A71D90
      InBOOTP.HardwareAddrLength       3367      D27    -1   532640   A71DA0
                    InBOOTP.Hops       3367      D27    -1   532640   A71DB0
           InBOOTP.TransactionID       3367      D27    -1   532640   A71DC0
          InBOOTP.SecondsElapsed       3367      D27    -1   532640   A71DD0
                   InBOOTP.Flags       3367      D27    -1   532640   A71DE0
                InBOOTP.ClientIP       3367      D27    -1   532640   A71DF0
                  InBOOTP.YourIP       3367      D27    -1   532640   A71E00
                InBOOTP.ServerIP       3367      D27    -1   532640   A71E10
               InBOOTP.GatewayIP       3367      D27    -1   532640   A71E20
               InBOOTP.ClientMAC       3367      D27    -1   532640   A71E30
        InBOOTP.ClientMACPadding       3367      D27    -1   532640   A71E40
              InBOOTP.ServerName       3367      D27    -1   532640   A71E50
                InBOOTP.FileName       3367      D27    -1   532640   A71E60
             InBOOTP.MagicCookie       3367      D27    -1   532640   A71E70
                         pInDHCP       1812      714    -1   532BBC        0
                          InDHCP       3367      D27    -1   532640   A71E80
                  sizeof(InDHCP)       3367      D27    -1   532640   A71E90
              InDHCP.MessageType       3367      D27    -1   532640   A71EA0
             InDHCP.OtherOptions       3367      D27    -1   532640   A71EB0
                         pOutEth       1813      715    -1   532BBC        0
                          OutEth       3367      D27    -1   532640   A71EC0
                  sizeof(OutEth)       3367      D27    -1   532640   A71ED0
                 OutEth.Preamble       3367      D27    -1   532640   A71EE0
                  OutEth.DestMAC       3367      D27    -1   532640   A71EF0
                OutEth.SourceMAC       3367      D27    -1   532640   A71F00
                     OutEth.Type       3367      D27    -1   532640   A71F10
                         pOutARP       1814      716    -1   532BBC        0
                          OutARP       3367      D27    -1   532640   A71F20
                  sizeof(OutARP)       3367      D27    -1   532640   A71F30
             OutARP.HardwareType       3367      D27    -1   532640   A71F40
             OutARP.ProtocolType       3367      D27    -1   532640   A71F50
                OutARP.MACLength       3367      D27    -1   532640   A71F60
                 OutARP.IPLength       3367      D27    -1   532640   A71F70
                   OutARP.Opcode       3367      D27    -1   532640   A71F80
                OutARP.SenderMAC       3367      D27    -1   532640   A71F90
                 OutARP.SenderIP       3367      D27    -1   532640   A71FA0
                OutARP.TargetMAC       3367      D27    -1   532640   A71FB0
                 OutARP.TargetIP       3367      D27    -1   532640   A71FC0
                        pOutIPv4       1815      717    -1   532BBC        0
                         OutIPv4       3367      D27    -1   532640   A71FD0
                 sizeof(OutIPv4)       3367      D27    -1   532640   A71FE0
        OutIPv4.VersionAndLength       3367      D27    -1   532640   A71FF0
                OutIPv4.Services       3367      D27    -1   532640   A72000
             OutIPv4.TotalLength       3367      D27    -1   532640   A72010
          OutIPv4.Identification       3367      D27    -1   532640   A72020
          OutIPv4.FlagsAndOffset       3367      D27    -1   532640   A72030
                     OutIPv4.TTL       3367      D27    -1   532640   A72040
                OutIPv4.Protocol       3367      D27    -1   532640   A72050
          OutIPv4.HeaderChecksum       3367      D27    -1   532640   A72060
                OutIPv4.SourceIP       3367      D27    -1   532640   A72070
                  OutIPv4.DestIP       3367      D27    -1   532640   A72080
                 OutIPv4.Options       3367      D27    -1   532640   A72090
                        pOutICMP       1816      718    -1   532BBC        0
                         OutICMP       3367      D27    -1   532640   A720A0
                 sizeof(OutICMP)       3367      D27    -1   532640   A720B0
                    OutICMP.Type       3367      D27    -1   532640   A720C0
                    OutICMP.Code       3367      D27    -1   532640   A720D0
                OutICMP.Checksum       3367      D27    -1   532640   A720E0
              OutICMP.HeaderData       3367      D27    -1   532640   A720F0
                         pOutUDP       1817      719    -1   532BBC        0
                          OutUDP       3367      D27    -1   532640   A72100
                  sizeof(OutUDP)       3367      D27    -1   532640   A72110
               OutUDP.SourcePort       3367      D27    -1   532640   A72120
                 OutUDP.DestPort       3367      D27    -1   532640   A72130
                   OutUDP.Length       3367      D27    -1   532640   A72140
                 OutUDP.Checksum       3367      D27    -1   532640   A72150
                       pOutBOOTP       1818      71A    -1   532BBC        0
                        OutBOOTP       3367      D27    -1   532640   A72160
                sizeof(OutBOOTP)       3367      D27    -1   532640   A72170
              OutBOOTP.Operation       3367      D27    -1   532640   A72180
           OutBOOTP.HardwareType       3367      D27    -1   532640   A72190
     OutBOOTP.HardwareAddrLength       3367      D27    -1   532640   A721A0
                   OutBOOTP.Hops       3367      D27    -1   532640   A721B0
          OutBOOTP.TransactionID       3367      D27    -1   532640   A721C0
